year,geo_name,short_indicator_text,long_indicator_text,stratification1,stratification_group1,stratification2,stratification_group2,cost_value
2021,South Carolina,Presenteeism,Annual Work Presenteeism Costs Attributable to Diabetes,Sex,Females,Age,45-64,3704.0
2021,Indiana,Absenteeism,Annual Work Absenteeism Costs Attributable to Diabetes,Sex,Females,Age,18-44,2.6
2021,Tennessee,Inability to Work,Annual Costs of Inability to Work Attributable to Diabetes,Sex,Overall,Age,45-64,15396.0
2021,Kentucky,Inability to Work,Annual Costs of Inability to Work Attributable to Diabetes,Sex,Males,Age,18-44,2477.0
2021,Nevada,Household Productivity,Annual Household Productivity Losses Attributable to Diabetes,Sex,Females,Age,75+,6.4
2021,North Carolina,Total Costs,Annual Total Costs Attributable to Diabetes,Sex,Overall,Age,65+,7032.7
2021,West Virginia,Inability to Work,Annual Costs of Inability to Work Attributable to Diabetes,Sex,Females,Age,18-44,44690.0
2021,Nebraska,Premature Mortality,Mortality Costs Attributable to Diabetes Deaths,Sex,Overall,Age,18-44,70.0
2021,Wisconsin,Household Productivity,Annual Household Productivity Losses Attributable to Diabetes,Sex,Overall,Age,18+,158.9
2021,Louisiana,Inability to Work,Annual Costs of Inability to Work Attributable to Diabetes,Sex,Females,Age,65-74,41036.0
2021,North Dakota,Absenteeism,Annual Work Absenteeism Costs Attributable to Diabetes,Sex,Males,Age,18-74,11.8
2021,West Virginia,Household Productivity,Annual Household Productivity Losses Attributable to Diabetes,Sex,Males,Age,75+,5.4
2021,North Carolina,Total Costs,Annual Total Costs Attributable to Diabetes,Sex,Females,Age,19+,4044.5
2021,Massachusetts,Presenteeism,Annual Work Presenteeism Costs Attributable to Diabetes,Sex,Overall,Age,18-44,16.1
