go_id,aspect
GO:0005911,C
GO:0005923,C
GO:0016327,C
GO:0140142,F
GO:0006468,P
GO:0032874,P
GO:0034599,P
GO:0036481,P
GO:0051645,P
GO:0051683,P
GO:0090168,P
GO:0141162,P
GO:0090443,C
GO:0008234,F
GO:0017015,P
GO:1990907,C
GO:0005198,F
GO:0017064,F
GO:0019369,P
GO:0001937,P
GO:0007264,P
GO:0010596,P
GO:0033622,P
GO:0045454,P
GO:2000352,P
GO:0006364,P
GO:0008283,P
GO:0000463,P
GO:0000466,P
GO:0042273,P
GO:0030687,C
GO:0070545,C
GO:0005112,F
GO:0030957,F
GO:0007219,P
GO:0030154,P
GO:0032693,P
GO:0097150,P
GO:0008331,F
GO:0007204,P
GO:0050804,P
GO:1904645,P
GO:0005109,F
GO:0045545,F
GO:0002091,P
GO:0010718,P
GO:0030307,P
GO:0042327,P
GO:0046330,P
GO:1903543,P
GO:1903553,P
GO:0035578,C
GO:1903561,C
GO:0008526,F
GO:0070300,F
GO:0120014,F
GO:0015914,P
GO:1902633,P
GO:1902648,P
GO:0005811,C
GO:0042274,P
GO:0032040,C
GO:0034457,C
GO:0030515,F
GO:1990226,F
GO:0005732,C
GO:0070761,C
GO:0022627,C
GO:0003678,F
GO:0003724,F
GO:0003729,F
GO:0008134,F
GO:0008143,F
GO:0008190,F
GO:0017111,F
GO:0031369,F
GO:0033592,F
GO:0035613,F
GO:0043015,F
GO:0043024,F
GO:0043273,F
GO:0007059,P
GO:0009615,P
GO:0016055,P
GO:0030308,P
GO:0031333,P
GO:0032481,P
GO:0032727,P
GO:0032728,P
GO:0034063,P
GO:0034157,P
GO:0034161,P
GO:0036493,P
GO:0042256,P
GO:0045727,P
GO:0045948,P
GO:0055088,P
GO:0070131,P
GO:0071243,P
GO:0071470,P
GO:0071651,P
GO:0090263,P
GO:0097193,P
GO:1901223,P
GO:1902042,P
GO:1902523,P
GO:1903608,P
GO:2001243,P
GO:0015026,F
GO:0019079,P
GO:0033897,F
GO:0006401,P
GO:0001768,P
GO:0001954,P
GO:0002407,P
GO:0031529,P
GO:0033630,P
GO:0035759,P
GO:0038120,P
GO:0051209,P
GO:0051491,P
GO:0071380,P
GO:0141214,P
GO:1903237,P
GO:2000147,P
GO:2000529,P
GO:2000669,P
GO:0033829,F
GO:0007389,P
GO:0140319,F
GO:0005884,C
GO:0004890,F
GO:0022851,F
GO:0033634,P
GO:0001726,C
GO:0033691,F
GO:0038187,F
GO:0002752,P
GO:0034394,P
GO:0043654,P
GO:0046597,P
GO:1903028,P
GO:0106139,C
GO:1905370,C
GO:0007229,P
GO:0030513,P
GO:0033690,P
GO:0070372,P
GO:1990757,F
GO:0007031,P
GO:0016558,P
GO:0016562,P
GO:0034614,P
GO:0006796,P
GO:0006814,P
GO:0030224,P
GO:0003712,F
GO:0008127,F
GO:0007586,P
GO:0000268,F
GO:1901894,P
GO:1901895,P
GO:0033017,C
GO:1902894,P
GO:1905461,P
GO:0006470,P
GO:0004722,F
GO:0048208,P
GO:0002062,P
GO:0045599,P
GO:0060070,P
GO:0071425,P
GO:0004550,F
GO:0140339,F
GO:0160204,F
GO:1901612,F
GO:0009116,P
GO:0034214,P
GO:0120010,P
GO:0047374,F
GO:0052689,F
GO:0106435,F
GO:0006693,P
GO:0050784,P
GO:0071273,P
GO:0098754,P
GO:0043231,C
GO:0004559,F
GO:0006516,P
GO:0000578,P
GO:0001502,P
GO:0007409,P
GO:0007548,P
GO:0021846,P
GO:0035115,P
GO:0035116,P
GO:0035313,P
GO:0036465,P
GO:0042733,P
GO:0048864,P
GO:0050768,P
GO:0051247,P
GO:0051965,P
GO:0060071,P
GO:0060997,P
GO:0062009,P
GO:0099054,P
GO:0099068,P
GO:1904861,P
GO:1904891,P
GO:1905386,P
GO:1905606,P
GO:2000463,P
GO:0098978,C
GO:0042132,F
GO:0006000,P
GO:0006094,P
GO:0044389,F
GO:0010458,P
GO:0010994,P
GO:0031145,P
GO:0031536,P
GO:0045842,P
GO:0070936,P
GO:0070979,P
GO:1904668,P
GO:0005680,C
GO:0003989,F
GO:0006084,P
GO:0051289,P
GO:0055089,P
GO:0008478,F
GO:0030170,F
GO:0030955,F
GO:0031402,F
GO:0031403,F
